StudyHours,Attendance,FinalGrade
2,63,0
3,66,0
4,69,0
5,72,0
6,75,0
7,78,1
8,81,1
1,84,0
2,87,0
3,90,0
4,93,0
5,96,1
6,99,1
7,61,1
8,64,1
1,67,0
2,70,0
3,73,0
4,76,0
5,79,0
6,82,1
7,85,1
8,88,1
1,91,0
2,94,0
3,97,0
4,100,0
5,62,0
6,65,0
7,68,1
8,71,1
1,74,0
2,77,0
3,80,0
4,83,0
5,86,1
6,89,1
7,92,1
8,95,1
1,98,0
2,60,0
3,63,0
4,66,0
5,69,0
6,72,0
7,75,1
8,78,1
1,81,0
2,84,0
3,87,0
4,90,0
5,93,1
6,96,1
7,99,1
8,61,1
1,64,0
2,67,0
3,70,0
4,73,0
5,76,0
6,79,0
7,82,1
8,85,1
1,88,0
2,91,0
3,94,0
4,97,0
5,100,1
6,62,0
7,65,1
8,68,1
1,71,0
2,74,0
3,77,0
4,80,0
5,83,1
6,86,1
7,89,1
8,92,1
1,95,0
2,98,0
3,60,0
4,63,0
5,66,0
6,69,0
7,72,1
8,75,1
1,78,0
2,81,0
3,84,0
4,87,0
5,90,1
6,93,1
7,96,1
8,99,1
1,61,0
2,64,0
3,67,0
4,70,0
5,73,0
