ID,Text,Label
1,I really liked the product,Positive
2,The service was excellent,Positive
3,I am very happy with the movie,Positive
4,The application exceeded my expectations,Positive
5,I enjoyed the book a lot,Positive
6,I really liked the purchase,Positive
7,The experience was excellent,Positive
8,I am very happy with the performance,Positive
9,The show exceeded my expectations,Positive
10,I enjoyed the website a lot,Positive
11,I really liked the product,Positive
12,The service was excellent,Positive
13,I am very happy with the movie,Positive
14,The application exceeded my expectations,Positive
15,I enjoyed the book a lot,Positive
16,I really liked the purchase,Positive
17,The experience was excellent,Positive
18,I am very happy with the performance,Positive
19,The show exceeded my expectations,Positive
20,I enjoyed the website a lot,Positive
21,I really liked the product,Positive
22,The service was excellent,Positive
23,I am very happy with the movie,Positive
24,The application exceeded my expectations,Positive
25,I enjoyed the book a lot,Positive
26,I really liked the purchase,Positive
27,The experience was excellent,Positive
28,I am very happy with the performance,Positive
29,The show exceeded my expectations,Positive
30,I enjoyed the website a lot,Positive
31,I really liked the product,Positive
32,The service was excellent,Positive
33,I am very happy with the movie,Positive
34,The application exceeded my expectations,Positive
35,I enjoyed the book a lot,Positive
36,I really liked the purchase,Positive
37,The experience was excellent,Positive
38,I am very happy with the performance,Positive
39,The show exceeded my expectations,Positive
40,I enjoyed the website a lot,Positive
41,I really liked the product,Positive
42,The service was excellent,Positive
43,I am very happy with the movie,Positive
44,The application exceeded my expectations,Positive
45,I enjoyed the book a lot,Positive
46,I really liked the purchase,Positive
47,The experience was excellent,Positive
48,I am very happy with the performance,Positive
49,The show exceeded my expectations,Positive
50,I enjoyed the website a lot,Positive
51,I really liked the product,Positive
52,The service was excellent,Positive
53,I am very happy with the movie,Positive
54,The application exceeded my expectations,Positive
55,I enjoyed the book a lot,Positive
56,I really liked the purchase,Positive
57,The experience was excellent,Positive
58,I am very happy with the performance,Positive
59,The show exceeded my expectations,Positive
60,I enjoyed the website a lot,Positive
61,I really liked the product,Positive
62,The service was excellent,Positive
63,I am very happy with the movie,Positive
64,The application exceeded my expectations,Positive
65,I enjoyed the book a lot,Positive
66,I really liked the purchase,Positive
67,The experience was excellent,Positive
68,I am very happy with the performance,Positive
69,The show exceeded my expectations,Positive
70,I enjoyed the website a lot,Positive
71,I really liked the product,Positive
72,The service was excellent,Positive
73,I am very happy with the movie,Positive
74,The application exceeded my expectations,Positive
75,I enjoyed the book a lot,Positive
76,I really liked the purchase,Positive
77,The experience was excellent,Positive
78,I am very happy with the performance,Positive
79,The show exceeded my expectations,Positive
80,I enjoyed the website a lot,Positive
81,I really liked the product,Positive
82,The service was excellent,Positive
83,I am very happy with the movie,Positive
84,The application exceeded my expectations,Positive
85,I enjoyed the book a lot,Positive
86,I really liked the purchase,Positive
87,The experience was excellent,Positive
88,I am very happy with the performance,Positive
89,The show exceeded my expectations,Positive
90,I enjoyed the website a lot,Positive
91,I really liked the product,Positive
92,The service was excellent,Positive
93,I am very happy with the movie,Positive
94,The application exceeded my expectations,Positive
95,I enjoyed the book a lot,Positive
96,I really liked the purchase,Positive
97,The experience was excellent,Positive
98,I am very happy with the performance,Positive
99,The show exceeded my expectations,Positive
100,I enjoyed the website a lot,Positive
101,I really disliked the product,Negative
102,The service was terrible,Negative
103,I am very unhappy with the movie,Negative
104,The application did not meet my expectations,Negative
105,I had a bad experience with the book,Negative
106,I really disliked the purchase,Negative
107,The experience was terrible,Negative
108,I am very unhappy with the performance,Negative
109,The show did not meet my expectations,Negative
110,I had a bad experience with the website,Negative
111,I really disliked the product,Negative
112,The service was terrible,Negative
113,I am very unhappy with the movie,Negative
114,The application did not meet my expectations,Negative
115,I had a bad experience with the book,Negative
116,I really disliked the purchase,Negative
117,The experience was terrible,Negative
118,I am very unhappy with the performance,Negative
119,The show did not meet my expectations,Negative
120,I had a bad experience with the website,Negative
121,I really disliked the product,Negative
122,The service was terrible,Negative
123,I am very unhappy with the movie,Negative
124,The application did not meet my expectations,Negative
125,I had a bad experience with the book,Negative
126,I really disliked the purchase,Negative
127,The experience was terrible,Negative
128,I am very unhappy with the performance,Negative
129,The show did not meet my expectations,Negative
130,I had a bad experience with the website,Negative
131,I really disliked the product,Negative
132,The service was terrible,Negative
133,I am very unhappy with the movie,Negative
134,The application did not meet my expectations,Negative
135,I had a bad experience with the book,Negative
136,I really disliked the purchase,Negative
137,The experience was terrible,Negative
138,I am very unhappy with the performance,Negative
139,The show did not meet my expectations,Negative
140,I had a bad experience with the website,Negative
141,I really disliked the product,Negative
142,The service was terrible,Negative
143,I am very unhappy with the movie,Negative
144,The application did not meet my expectations,Negative
145,I had a bad experience with the book,Negative
146,I really disliked the purchase,Negative
147,The experience was terrible,Negative
148,I am very unhappy with the performance,Negative
149,The show did not meet my expectations,Negative
150,I had a bad experience with the website,Negative
151,I really disliked the product,Negative
152,The service was terrible,Negative
153,I am very unhappy with the movie,Negative
154,The application did not meet my expectations,Negative
155,I had a bad experience with the book,Negative
156,I really disliked the purchase,Negative
157,The experience was terrible,Negative
158,I am very unhappy with the performance,Negative
159,The show did not meet my expectations,Negative
160,I had a bad experience with the website,Negative
161,I really disliked the product,Negative
162,The service was terrible,Negative
163,I am very unhappy with the movie,Negative
164,The application did not meet my expectations,Negative
165,I had a bad experience with the book,Negative
166,I really disliked the purchase,Negative
167,The experience was terrible,Negative
168,I am very unhappy with the performance,Negative
169,The show did not meet my expectations,Negative
170,I had a bad experience with the website,Negative
171,I really disliked the product,Negative
172,The service was terrible,Negative
173,I am very unhappy with the movie,Negative
174,The application did not meet my expectations,Negative
175,I had a bad experience with the book,Negative
176,I really disliked the purchase,Negative
177,The experience was terrible,Negative
178,I am very unhappy with the performance,Negative
179,The show did not meet my expectations,Negative
180,I had a bad experience with the website,Negative
181,I really disliked the product,Negative
182,The service was terrible,Negative
183,I am very unhappy with the movie,Negative
184,The application did not meet my expectations,Negative
185,I had a bad experience with the book,Negative
186,I really disliked the purchase,Negative
187,The experience was terrible,Negative
188,I am very unhappy with the performance,Negative
189,The show did not meet my expectations,Negative
190,I had a bad experience with the website,Negative
191,I really disliked the product,Negative
192,The service was terrible,Negative
193,I am very unhappy with the movie,Negative
194,The application did not meet my expectations,Negative
195,I had a bad experience with the book,Negative
196,I really disliked the purchase,Negative
197,The experience was terrible,Negative
198,I am very unhappy with the performance,Negative
199,The show did not meet my expectations,Negative
200,I had a bad experience with the website,Negative
